Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Heating Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Electricity Energy [J](Hourly),HEAT PUMP DX HEATING COIL 1:Heating Coil Defrost Electricity Energy [J](Hourly),SUPPLEMENTAL HEATING COIL ELECTRIC:Heating Coil Heating Energy [J](Hourly),SUPPLEMENTAL HEATING COIL ELECTRIC:Heating Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 07/24  07:00:00,25.325000000000004,23.814872913851649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,300779.7467179357,6624741.740122092,801272.1935154053,0.0,0.0,0.0,0.0,0.0,26.48598503595406,20.836366841066544
 07/24  08:00:00,25.870833333333338,24.231067735278093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.736746162696197,21.333813834609506
 07/24  09:00:00,26.695833333333338,24.63576783866957,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.61684448128491,22.604894182960277
 07/24  10:00:00,27.795833333333336,24.89229620942984,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5293.964099827248,117105.38204511212,18249.452464746282,0.0,0.0,0.0,0.0,0.0,28.159361882757634,23.398630275658179
 07/24  11:00:00,29.22083333333333,25.455647323740704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133511.38549615316,2995993.413268735,501132.3973589114,0.0,0.0,0.0,0.0,0.0,29.312928219491658,23.958011613427219
 07/24  12:00:00,31.191666666666664,26.160576172128825,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,218101.78141241722,4897225.974532716,946723.0400545269,0.0,0.0,0.0,0.0,0.0,29.28531224333264,23.885754709913586
 07/24  13:00:00,33.12083333333333,25.685051354915303,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,315736.65953216908,7059453.986788729,1551575.3335719244,0.0,0.0,0.0,0.0,0.0,29.253890616208897,23.540045006372908
 07/24  14:00:00,29.674999999999998,23.84075372430971,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,410132.3663888692,9429889.790095296,1639950.8121966543,0.0,0.0,0.0,0.0,0.0,28.725614455652879,22.59297982214377
 07/24  15:00:00,24.58333333333334,22.387862228162047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,383257.64419993446,9037282.715933592,998066.1642015617,0.0,0.0,0.0,0.0,0.0,28.159103868954234,21.79667757709109
 07/24  16:00:00,23.89583333333333,22.769926978002429,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,459792.12276924579,10860322.027318718,1139768.3356718028,0.0,0.0,0.0,0.0,0.0,27.58868037749825,21.03653052008536
 07/24  17:00:00,24.400000000000003,23.05028544916389,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,522226.5811098147,12114160.467990414,1404507.2565776157,0.0,0.0,0.0,0.0,0.0,27.0244143531185,20.369686402105239
 07/24  18:00:00,24.129166666666664,22.749586528348087,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,599250.1307260179,13613981.836832788,1755880.7764918688,0.0,0.0,0.0,0.0,0.0,26.472453253138729,19.78574083511912
 07/24  19:00:00,23.575000000000004,22.60391875880641,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,474020.8828195516,10790421.325287132,1073181.6644915152,0.0,0.0,0.0,0.0,0.0,26.43561061979172,19.504384108035226
 07/24  20:00:00,23.300000000000009,22.76582616317481,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412508.7375713872,9272127.03120564,873349.7642118419,0.0,0.0,0.0,0.0,0.0,26.452373195243728,19.543390373277377
 07/24  21:00:00,23.02916666666667,22.200401819030458,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,374892.7832229296,8398919.321661044,766153.0982895788,0.0,0.0,0.0,0.0,0.0,26.464346851868674,19.75637636832696
 07/24  22:00:00,22.8,21.846662923257186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,341969.75947512997,7617454.832217069,677020.6788732496,0.0,0.0,0.0,0.0,0.0,26.474818059847,19.85103289249374
 07/24  23:00:00,22.8,22.073199797013119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,307929.1170761248,6823764.523226959,609042.0115378969,0.0,0.0,0.0,0.0,0.0,26.485463467202906,20.05399900387954
 07/24  24:00:00,22.8,22.205906146019236,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,274854.7338229686,6066811.381476546,542929.5669197986,0.0,0.0,0.0,0.0,0.0,26.495834675294316,20.274865044054086
 07/25  01:00:00,22.474999999999999,22.06143416611177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,235971.7037673946,5206304.428332278,444958.96436690379,0.0,0.0,0.0,0.0,0.0,26.507982361879205,20.535323883729935
 07/25  02:00:00,22.199999999999993,21.843958632938464,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,204219.83308591025,4510844.788368609,368436.3238263445,0.0,0.0,0.0,0.0,0.0,26.517822414973549,20.779052381142745
 07/25  03:00:00,22.199999999999993,21.84390220031422,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,191371.87375563544,4241266.48968568,344383.529229218,0.0,0.0,0.0,0.0,0.0,26.52148633329187,20.995160531586433
 07/25  04:00:00,22.199999999999993,21.843860365734427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178814.64174599408,3969173.0071554745,321111.0487278949,0.0,0.0,0.0,0.0,0.0,26.52519558317258,21.15589990299212
 07/25  05:00:00,22.199999999999993,21.583364707767648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,165784.90418566453,3678876.518884197,297249.42405869645,0.0,0.0,0.0,0.0,0.0,26.52921416770509,21.26709744823395
 07/25  06:00:00,22.199999999999993,21.62370893469866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,178467.7362742657,3984905.5813257929,319754.0968100524,0.0,0.0,0.0,0.0,0.0,26.524952770139647,21.316636604330094
 07/25  07:00:00,22.524999999999996,21.969577297486109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,233094.3346409253,5270341.709933393,439397.54552684226,0.0,0.0,0.0,0.0,0.0,26.507486579582733,21.26383837153103
 07/25  08:00:00,23.991666666666665,22.40203231164678,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.57091478743743,21.550983895913068
 07/25  09:00:00,25.325000000000004,22.949806433347118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48477953564966,22.344694655672538
 07/25  10:00:00,26.195833333333338,23.31035155527357,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.96335296604842,22.903153606775473
 07/25  11:00:00,26.970833333333329,23.473936476070109,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77923.70547887183,1734700.5385917689,240340.8390780278,0.0,0.0,0.0,0.0,0.0,29.241978608903606,23.474393536649285
 07/25  12:00:00,26.929166666666665,23.460225186481794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137883.93606172643,3111062.7845124087,421478.1539150519,0.0,0.0,0.0,0.0,0.0,29.312621181322276,23.408368843376907
 07/25  13:00:00,26.970833333333329,23.31049601574082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,198377.88246759316,4516157.25731178,612196.0854635418,0.0,0.0,0.0,0.0,0.0,29.29338531372773,23.149428410086718
 07/25  14:00:00,29.04166666666667,24.128809952035213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412870.6171132074,9550771.179178158,1556967.0805569692,0.0,0.0,0.0,0.0,0.0,28.709727759162687,22.37169478577953
 07/25  15:00:00,30.870833333333338,24.488948702856587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,595119.6172764091,13300903.226786754,2559909.799909511,0.0,0.0,0.0,0.0,0.0,28.133735136697199,21.41332107588765
 07/25  16:00:00,31.424999999999998,24.46843158692023,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,713816.6080451526,15230252.765008908,3164858.6424869599,0.0,0.0,0.0,0.0,0.0,27.61052667075378,20.35866992824629
 07/25  17:00:00,30.45416666666667,24.211803081489057,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,773153.0077810433,16194128.48774514,3318702.98769024,0.0,0.0,0.0,0.0,0.0,27.048586853858123,19.571818658782495
 07/25  18:00:00,28.533333333333336,23.185216592227147,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,818734.2142731689,17140281.119617616,3327038.414819178,0.0,0.0,0.0,0.0,0.0,26.49052308562322,18.981463035644287
 07/25  19:00:00,26.28333333333333,22.315273760866487,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,692321.4057796216,14833742.755594083,2469573.0941954415,0.0,0.0,0.0,0.0,0.0,26.433782400753718,18.881206880671625
 07/25  20:00:00,23.808333333333335,22.050087742329965,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,572622.8056451348,12746250.378437145,1576876.3615018218,0.0,0.0,0.0,0.0,0.0,26.433059261141314,19.017312803589289
 07/25  21:00:00,22.8,22.073507095826427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,489599.0929396978,11139328.446269123,1029997.1996157757,0.0,0.0,0.0,0.0,0.0,26.433596267062275,19.125164035140587
 07/25  22:00:00,22.8,22.206079130298094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,434432.2082729661,9834047.645114314,861406.246584725,0.0,0.0,0.0,0.0,0.0,26.445635487597956,19.326049967587165
 07/25  23:00:00,22.8,22.317905839277157,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381285.89931800836,8547358.064691294,755489.5058527396,0.0,0.0,0.0,0.0,0.0,26.462577240656473,19.61901915012351
 07/25  24:00:00,22.474999999999999,22.25582068192371,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,328225.0282427417,7323492.744109896,621346.1887916522,0.0,0.0,0.0,0.0,0.0,26.479131374981959,19.928250773722664
 07/26  01:00:00,22.199999999999993,22.0076347020039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,280390.2182324314,6229987.520102679,508542.4001138412,0.0,0.0,0.0,0.0,0.0,26.494200247476788,20.19763651377531
 07/26  02:00:00,21.929166666666665,21.767144992201624,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,241678.9916029045,5354904.045565447,420339.95362429987,0.0,0.0,0.0,0.0,0.0,26.506448448015509,20.409246967121395
 07/26  03:00:00,21.97083333333333,21.779159890327319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215879.149991269,4773213.265454091,376610.8690415825,0.0,0.0,0.0,0.0,0.0,26.51444655752557,20.615955948728055
 07/26  04:00:00,22.199999999999993,22.037304878993994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,203729.41599628266,4505681.40552008,367387.8003231459,0.0,0.0,0.0,0.0,0.0,26.517935875825985,20.819284437575559
 07/26  05:00:00,22.199999999999993,22.007691951665124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,187355.29301840339,4152697.613094411,336983.8220461224,0.0,0.0,0.0,0.0,0.0,26.522794416691825,21.035789669057434
 07/26  06:00:00,22.199999999999993,21.84427873862092,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,192782.3939242447,4302507.799564148,346095.161995861,0.0,0.0,0.0,0.0,0.0,26.520664192695347,21.176184411171325
 07/26  07:00:00,22.795833333333336,22.236947397500818,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,231143.95184213154,5197908.9380136639,453973.97932119129,0.0,0.0,0.0,0.0,0.0,26.508017137289177,21.220994182079378
 07/26  08:00:00,23.89583333333333,22.52654373199511,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.542878080864104,21.60015398868721
 07/26  09:00:00,25.050000000000009,22.653212140364404,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.48277724873786,22.495832373563969
 07/26  10:00:00,26.466666666666666,23.048100408794899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12348.339331697996,270917.4754260242,38324.26830004194,0.0,0.0,0.0,0.0,0.0,28.39541173073043,23.10302648931163
 07/26  11:00:00,26.929166666666665,23.16276677096198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74401.537285926,1647620.3044933936,227237.19555531984,0.0,0.0,0.0,0.0,0.0,29.33337472789228,23.45643324169456
 07/26  12:00:00,27.566666666666668,22.956060699294814,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,141590.62122949106,3162552.600989225,463823.44200897219,0.0,0.0,0.0,0.0,0.0,29.311645121009947,23.327009898625815
 07/26  13:00:00,28.029166666666673,23.092996333788635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,211787.1609091179,4736857.0423051719,718866.9509417653,0.0,0.0,0.0,0.0,0.0,29.289705427921054,22.91134034850352
 07/26  14:00:00,28.39583333333333,23.51510557242119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,381374.207813225,8737519.49454597,1366450.9341124795,0.0,0.0,0.0,0.0,0.0,28.72042184014906,22.188002461835173
 07/26  15:00:00,28.304166666666665,23.312081014684567,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,452767.6382324598,10228618.849258796,1621841.4599804294,0.0,0.0,0.0,0.0,0.0,28.149031136954006,21.294408708176129
 07/26  16:00:00,28.070833333333338,23.251930014234689,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,524398.3461693059,11665665.435099632,1881931.63187611,0.0,0.0,0.0,0.0,0.0,27.588007250157565,20.397351582144073
 07/26  17:00:00,28.029166666666673,23.642765093944886,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,622825.9811226877,13506666.403103514,2339240.501186822,0.0,0.0,0.0,0.0,0.0,27.034202917557609,19.738289204263759
 07/26  18:00:00,27.800000000000009,23.793734016292544,0.0,0.0,0.08333333333333333,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.0,0.08333333333333333,729327.0882459357,15538818.767362547,2824074.2875162858,0.0,0.0,0.0,0.0,0.0,26.501794807368517,19.216591978492457
 07/26  19:00:00,27.204166666666667,23.817279565487707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,626059.9363350899,13370782.03938968,2250314.816630655,0.0,0.0,0.0,0.0,0.0,26.433181837772648,18.998473358137919
 07/26  20:00:00,26.10416666666667,23.72076595265504,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,545836.3887309596,11870608.03788708,1721277.0854106188,0.0,0.0,0.0,0.0,0.0,26.433154644340548,19.044519157837425
 07/26  21:00:00,25.275000000000003,23.23988318525552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,486860.2469494761,10785592.431759892,1327433.1217334988,0.0,0.0,0.0,0.0,0.0,26.43334698002795,19.209980510519768
 07/26  22:00:00,24.674999999999998,23.108235097499443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,436597.36554840867,9651676.95998951,1088295.4547249997,0.0,0.0,0.0,0.0,0.0,26.445136774293464,19.281374427889135
 07/26  23:00:00,24.129166666666664,23.205868131892044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,385726.4460040768,8496974.111478676,904056.4402387928,0.0,0.0,0.0,0.0,0.0,26.461394680976995,19.534713631034223
 07/26  24:00:00,23.575000000000004,22.835916566077456,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,335134.60087509328,7362105.2242002659,734688.7685457828,0.0,0.0,0.0,0.0,0.0,26.477292667511933,19.791773447174959
 07/27  01:00:00,23.300000000000009,22.56545264196842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,295144.7724606923,6464912.751570024,623937.5312418294,0.0,0.0,0.0,0.0,0.0,26.48984235676711,20.02206549201789
 07/27  02:00:00,23.02916666666667,22.29897923392089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,259985.41918780618,5683577.583585637,530308.7556872516,0.0,0.0,0.0,0.0,0.0,26.500911256069928,20.2258199589288
 07/27  03:00:00,22.204166666666667,21.61780951358256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,215444.41948362208,4719355.467001729,391535.7052920859,0.0,0.0,0.0,0.0,0.0,26.51504185776642,20.435423490478926
 07/27  04:00:00,21.97083333333333,21.562480077420969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,184376.7240691687,4038038.4627892237,321529.54917859096,0.0,0.0,0.0,0.0,0.0,26.52475900146401,20.647156075356106
 07/27  05:00:00,21.929166666666665,21.51136959494119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,168634.81629478688,3705658.894668647,291807.40197874148,0.0,0.0,0.0,0.0,0.0,26.529365600668979,20.878592227989427
