Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),Environment:Site Outdoor Air Wetbulb Temperature [C](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),LIVING_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Heating Setpoint Not Met While Occupied Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met Time [hr](Hourly),ATTIC_UNIT1:Zone Cooling Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met Time [hr](Hourly),Facility:Facility Heating Setpoint Not Met While Occupied Time [hr](Hourly),Facility:Facility Cooling Setpoint Not Met While Occupied Time [hr](Hourly),SUPPLY FAN_UNIT1:Fan Electricity Energy [J](Hourly),HEATING COIL GAS:Heating Coil Heating Energy [J](Hourly),HEATING COIL GAS:Heating Coil NaturalGas Energy [J](Hourly),HEATING COIL GAS:Heating Coil Electricity Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Total Cooling Energy [J](Hourly),DX COOLING COIL_UNIT1:Cooling Coil Electricity Energy [J](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Temperature [C](Hourly),COOLING COIL AIR INLET NODE_UNIT1:System Node Wetbulb Temperature [C](Hourly)
 01/01  16:00:00,9.950000000000001,4.667577515790103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2823.214828435328,313400.1863857587,391750.2329821983,0.0,0.0,0.0,20.404518240892995,10.845058185214981
 01/01  17:00:00,8.533333333333334,3.870409408309453,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10882.151032993903,1208008.7309219763,1510010.9136524704,0.0,0.0,0.0,20.889834072104788,10.861121863632106
 01/01  18:00:00,6.879166666666666,3.0797143090734075,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15624.05664769553,1734399.4570201368,2167999.3212751715,0.0,0.0,0.0,20.8899288942961,10.805313713569762
 01/01  19:00:00,5.829166666666666,2.8759473813548697,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20343.751863266127,2258324.6451942056,2822905.8064927558,0.0,0.0,0.0,20.88982302777015,10.88186948080052
 01/01  20:00:00,5.2749999999999999,2.9122849254956475,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28523.786066393972,3166376.0687279046,3957970.08590988,0.0,0.0,0.0,20.889583480390134,11.038875826993284
 01/01  21:00:00,5.325,3.254923942496428,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33566.36637646995,3726144.1717875,4657680.2147343759,0.0,0.0,0.0,20.889343042912598,11.191650322067489
 01/01  22:00:00,5.6000000000000009,3.6112685613234265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38826.66893846325,4310081.244790143,5387601.5559876789,0.0,0.0,0.0,20.889053114868515,11.37964337878875
 01/01  23:00:00,5.2749999999999999,3.312946060167628,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50413.51028322461,5596316.426220868,6995395.532776084,0.0,0.0,0.0,20.888865755099464,11.501560507938338
 01/01  24:00:00,4.675,2.8788076530123787,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17807.124826110765,1976738.0729544168,2470922.5911930215,0.0,0.0,0.0,19.249631537703153,10.792123607635249
 01/02  01:00:00,3.8041666666666669,2.169190560337555,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33219.30059010609,3687617.000196087,4609521.250245107,0.0,0.0,0.0,19.222329930243533,10.692655632092873
 01/02  02:00:00,2.4333333333333329,1.1031465630277134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40531.84046702213,4499369.381664311,5624211.727080388,0.0,0.0,0.0,19.22254445148732,10.55864737587049
 01/02  03:00:00,1.375,0.37925678715450986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47392.991279948874,5261013.8452504449,6576267.306563054,0.0,0.0,0.0,19.222727756395185,10.443575446092824
 01/02  04:00:00,1.0999999999999999,0.20060969557982354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53280.887425689354,5914618.9945680149,7393273.743210018,0.0,0.0,0.0,19.22287606628878,10.346920221525714
 01/02  05:00:00,0.5041666666666668,-0.17131399514682434,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57056.5381930499,6333747.444270203,7917184.305337754,0.0,0.0,0.0,19.222974781145405,10.282414743588108
 01/02  06:00:00,0.0,-0.46016384471865198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60679.34918852344,6735909.415717143,8419886.769646429,0.0,0.0,0.0,19.223029885028017,10.250965277283913
 01/02  07:00:00,0.0,-0.3346506310400839,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62186.89278966021,6903259.218793505,8629074.023491882,0.0,0.0,0.0,19.22303710471447,10.250144501258655
 01/02  08:00:00,0.325,-0.03848589717638038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104615.03023708462,11613133.242582482,14516416.553228103,0.0,0.0,0.0,20.772318672659805,10.96344147929142
 01/02  09:00:00,1.1958333333333334,0.48630472965567225,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97310.8016964927,10802303.488158737,13502879.36019842,0.0,0.0,0.0,20.889629279662399,11.040369479205653
 01/02  10:00:00,1.9708333333333335,0.8305729546967341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93458.70560037956,10374688.974966772,12968361.218708465,0.0,0.0,0.0,20.88970523660218,11.000574984296757
 01/02  11:00:00,2.525,0.9642826761492399,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82526.79989189316,9161157.063727146,11451446.329658933,0.0,0.0,0.0,20.88983434836641,10.92173949703007
 01/02  12:00:00,3.070833333333333,1.1762944747505382,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69675.00078959429,7734501.113395146,9668126.391743934,0.0,0.0,0.0,20.889964754458949,10.832396205337299
 01/02  13:00:00,3.895833333333334,1.5243466933989145,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58439.769905811336,6487297.600010347,8109122.000012934,0.0,0.0,0.0,20.890090216915554,10.748337216621155
 01/02  14:00:00,5.645833333333335,2.335112629679977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42632.82476156815,4732596.007875108,5915745.009843885,0.0,0.0,0.0,20.89023227422687,10.652607695190224
 01/02  15:00:00,6.700000000000002,2.7401639079651756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30303.326625715665,3363919.782849556,4204899.728561944,0.0,0.0,0.0,20.890387046853456,10.548399393560045
 01/02  16:00:00,6.700000000000002,2.6643745876638387,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25569.82405224629,2838461.863798834,3548077.329748542,0.0,0.0,0.0,20.890536911111366,10.455512539507343
 01/02  17:00:00,5.779166666666666,2.068386589766783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30595.785379507237,3396385.122371459,4245481.402964324,0.0,0.0,0.0,20.890623024221836,10.403157426079451
 01/02  18:00:00,3.2125000000000005,0.7655884856467131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41496.24671136026,4606426.447843956,5758033.059804944,0.0,0.0,0.0,20.890617690861057,10.407143819202977
 01/02  19:00:00,1.1041666666666666,-0.5138666166808613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47304.099295754844,5251146.1001061419,6563932.625132678,0.0,0.0,0.0,20.89048136189452,10.501511401794714
 01/02  20:00:00,-0.9166666666666666,-1.9879614606227277,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59252.63688224259,6577532.554628223,8221915.69328528,0.0,0.0,0.0,20.890386948927686,10.56569381289677
 01/02  21:00:00,-2.1999999999999999,-2.8638868568170285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71352.29261994393,7920694.373277612,9900867.966597014,0.0,0.0,0.0,20.890467744624364,10.51784073476285
 01/02  22:00:00,-2.525,-3.083406503054263,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,80481.6629289038,8934129.953027074,11167662.441283843,0.0,0.0,0.0,20.890527760578409,10.482714960311223
 01/02  23:00:00,-3.070833333333333,-3.532946628723043,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92048.27997125773,10218120.06968973,12772650.087112163,0.0,0.0,0.0,20.89062025745218,10.422404590137428
 01/02  24:00:00,-3.625,-4.006924660271535,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,46777.47827002869,5192686.812504319,6490858.515630396,0.0,0.0,0.0,19.27490061132435,9.628792531078215
 01/03  01:00:00,-3.899999999999999,-4.173879285080319,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,73550.75230461132,8164741.57365244,10205926.96706555,0.0,0.0,0.0,19.22425598743368,9.473758804227158
 01/03  02:00:00,-4.1708333333333329,-4.355600660496605,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83828.54023236386,9305661.003427506,11632076.25428438,0.0,0.0,0.0,19.2244031572159,9.3744383794885
 01/03  03:00:00,-4.129166666666667,-4.314358105272633,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,90182.23071282417,10010973.174771285,12513716.468464107,0.0,0.0,0.0,19.224532268641043,9.287035282867573
 01/03  04:00:00,-3.3041666666666669,-3.604237248841295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91337.67506481758,10139237.050274447,12674046.312843062,0.0,0.0,0.0,19.224581100657156,9.253917528424918
 01/03  05:00:00,-3.3958333333333328,-3.5745004189806255,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,94719.63722342038,10514662.809653558,13143328.512066948,0.0,0.0,0.0,19.224557102331614,9.274641349412582
 01/03  06:00:00,-2.3833333333333335,-2.6939139570578525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,92132.66568891853,10227487.581994083,12784359.477492599,0.0,0.0,0.0,19.224503839449448,9.310059600346257
 01/03  07:00:00,-1.0999999999999999,-1.7002510145448853,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86945.45759549734,9651664.599298537,12064580.749123171,0.0,0.0,0.0,19.224324266152096,9.43217851786338
 01/03  08:00:00,-0.17916666666666673,-1.0361079998857368,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,132987.28555240189,14762688.145187177,18453360.18148397,0.0,0.0,0.0,20.82840281751746,10.26760389515461
 01/03  09:00:00,1.1958333333333334,-0.2656790585836379,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,114257.38001825477,12683513.784714371,15854392.230892964,0.0,0.0,0.0,20.890693198101368,10.388528176285643
 01/03  10:00:00,2.5666666666666666,0.533130796568187,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,99716.09226903254,11069310.627025204,13836638.2837815,0.0,0.0,0.0,20.890677702361953,10.393057634244516
